Datum von;Datum bis;Biomasse [MWh] Berechnete Auflösungen;Wasserkraft [MWh] Berechnete Auflösungen;Wind Offshore [MWh] Berechnete Auflösungen;Wind Onshore [MWh] Berechnete Auflösungen;Photovoltaik [MWh] Berechnete Auflösungen;Sonstige Erneuerbare [MWh] Berechnete Auflösungen;Kernenergie [MWh] Berechnete Auflösungen;Braunkohle [MWh] Berechnete Auflösungen;Steinkohle [MWh] Berechnete Auflösungen;Erdgas [MWh] Berechnete Auflösungen;Pumpspeicher [MWh] Berechnete Auflösungen;Sonstige Konventionelle [MWh] Berechnete Auflösungen
08.09.2025 08:00;08.09.2025 09:00;3.829,25;1.755,75;3.999,50;7.516,50;12.492,75;77,00;-;9.872,50;2.937,00;6.826,25;3.067,00;1.198,25
08.09.2025 09:00;08.09.2025 10:00;3.841,75;1.718,75;3.259,50;4.627,25;22.237,50;77,00;-;9.567,25;2.866,75;6.231,75;575,00;1.191,50
08.09.2025 10:00;08.09.2025 11:00;3.830,00;1.746,00;2.632,75;4.446,50;29.306,50;77,00;-;8.438,50;2.654,50;4.879,00;7,25;1.163,00
08.09.2025 11:00;08.09.2025 12:00;3.824,25;1.768,75;1.504,00;5.249,75;33.110,75;77,00;-;7.672,75;2.570,75;3.912,75;29,75;1.143,00
08.09.2025 12:00;08.09.2025 13:00;3.775,00;1.814,75;684,75;5.254,50;33.824,00;97,00;-;7.542,75;2.447,00;3.790,50;24,25;1.109,00
08.09.2025 13:00;08.09.2025 14:00;3.754,50;1.893,75;521,50;4.526,25;31.785,25;97,00;-;7.301,25;2.728,00;4.113,00;115,25;1.105,75
08.09.2025 14:00;08.09.2025 15:00;3.790,00;2.013,50;430,25;3.600,75;28.195,75;97,00;-;7.584,50;2.995,00;4.335,50;262,00;1.109,75
08.09.2025 15:00;08.09.2025 16:00;3.767,50;1.853,75;398,25;2.546,25;23.182,00;97,00;-;9.061,00;3.299,50;5.129,25;102,25;1.111,00
08.09.2025 16:00;08.09.2025 17:00;3.749,50;1.955,00;534,00;1.888,50;17.462,00;97,00;-;10.441,50;3.759,00;6.634,50;329,00;1.113,00
08.09.2025 17:00;08.09.2025 18:00;3.785,75;2.230,50;468,75;1.538,50;10.285,25;97,00;-;10.698,00;4.102,75;9.025,00;2.776,75;1.214,75
08.09.2025 18:00;08.09.2025 19:00;3.835,75;2.380,75;425,25;1.797,75;4.080,25;97,00;-;10.758,00;4.216,75;10.511,00;4.593,50;1.444,50
08.09.2025 19:00;08.09.2025 20:00;3.860,25;2.371,00;420,25;2.231,00;547,50;97,00;-;10.761,50;4.234,50;11.007,00;5.066,25;1.484,75
08.09.2025 20:00;08.09.2025 21:00;3.881,00;2.351,50;516,00;2.817,75;0,25;97,00;-;10.758,25;4.254,50;10.623,75;4.853,50;1.483,25
08.09.2025 21:00;08.09.2025 22:00;3.907,25;2.100,00;480,50;3.438,00;0,00;97,00;-;10.942,50;4.166,50;10.529,00;3.208,25;1.322,50
08.09.2025 22:00;08.09.2025 23:00;3.901,00;1.962,50;488,75;3.419,25;0,00;97,00;-;10.974,25;3.867,75;9.501,25;1.023,75;1.183,75
08.09.2025 23:00;09.09.2025 00:00;3.892,75;1.860,25;430,00;2.942,25;0,00;97,00;-;10.622,50;3.817,00;8.444,75;56,75;1.120,25
09.09.2025 00:00;09.09.2025 01:00;3.875,50;1.766,00;349,00;2.618,50;0,00;97,00;-;10.567,25;3.895,00;8.516,50;6,00;1.363,00
09.09.2025 01:00;09.09.2025 02:00;3.877,25;1.760,75;205,50;2.294,75;0,00;97,00;-;10.570,50;3.903,00;8.621,50;1,00;1.329,00
09.09.2025 02:00;09.09.2025 03:00;3.881,50;1.794,00;142,25;2.186,50;0,00;97,00;-;10.586,75;3.887,75;8.621,75;1,00;1.313,00
09.09.2025 03:00;09.09.2025 04:00;3.874,25;1.815,50;104,00;2.104,25;0,00;97,00;-;10.534,00;3.887,50;8.634,50;1,00;1.315,75
09.09.2025 04:00;09.09.2025 05:00;3.857,75;1.832,75;54,75;2.350,25;0,00;97,00;-;10.171,25;4.002,50;8.808,25;84,50;1.316,75
09.09.2025 05:00;09.09.2025 06:00;3.846,00;1.938,25;125,50;2.860,00;0,00;97,00;-;10.433,25;4.231,50;8.958,00;291,75;1.277,75
09.09.2025 06:00;09.09.2025 07:00;3.846,00;2.447,00;211,25;3.528,75;75,75;97,00;-;10.865,00;4.299,00;10.019,00;2.784,50;1.304,25
09.09.2025 07:00;09.09.2025 08:00;3.837,50;2.484,50;369,75;4.941,00;2.682,50;97,00;-;10.987,00;4.339,50;10.436,75;3.774,50;1.327,50
09.09.2025 08:00;09.09.2025 09:00;3.809,25;2.227,75;563,25;5.322,50;7.779,75;97,00;-;10.971,25;4.261,75;10.267,25;2.489,25;1.266,50
09.09.2025 09:00;09.09.2025 10:00;3.800,50;2.323,00;783,25;4.364,00;12.712,25;97,00;-;9.602,50;4.255,75;9.618,00;1.088,75;1.257,75
09.09.2025 10:00;09.09.2025 11:00;3.765,75;2.388,75;727,25;3.460,00;16.993,75;97,00;-;8.205,75;4.190,00;9.341,50;1.806,25;1.277,75
09.09.2025 11:00;09.09.2025 12:00;3.726,50;2.301,75;801,25;2.721,75;21.230,50;97,00;-;8.389,75;4.097,50;9.151,25;779,25;1.333,25
09.09.2025 12:00;09.09.2025 13:00;3.734,50;2.074,25;937,75;2.966,00;22.885,75;97,75;-;8.535,25;3.988,50;8.681,25;314,25;1.353,75
09.09.2025 13:00;09.09.2025 14:00;3.684,75;1.952,00;762,75;3.517,50;22.338,50;106,25;-;8.479,00;3.965,25;8.599,75;407,50;1.351,25
09.09.2025 14:00;09.09.2025 15:00;3.582,25;2.164,50;769,00;3.240,50;20.074,75;115,00;-;8.653,75;3.851,25;8.573,75;706,00;1.289,00
09.09.2025 15:00;09.09.2025 16:00;3.584,25;2.198,00;941,75;3.198,00;16.823,75;109,50;-;9.170,75;3.869,25;8.846,75;309,25;1.288,75
09.09.2025 16:00;09.09.2025 17:00;3.588,00;2.216,00;1.549,00;3.427,50;13.019,50;97,00;-;10.389,50;4.009,50;8.584,25;291,00;1.280,75
09.09.2025 17:00;09.09.2025 18:00;3.635,00;2.269,00;1.952,00;3.423,00;8.268,25;91,50;-;10.968,75;4.333,25;9.914,50;561,75;1.340,75
09.09.2025 18:00;09.09.2025 19:00;3.699,00;2.412,75;2.007,50;3.159,75;3.529,00;91,00;-;10.925,25;4.499,75;11.172,00;3.072,75;1.593,75
09.09.2025 19:00;09.09.2025 20:00;3.728,00;2.369,50;2.119,25;3.056,50;482,00;91,00;-;10.992,00;4.493,75;11.476,50;4.138,00;1.674,25
09.09.2025 20:00;09.09.2025 21:00;3.734,00;2.394,50;2.033,25;3.465,00;1,25;91,00;-;11.111,25;4.480,00;11.254,00;3.654,25;1.557,25
09.09.2025 21:00;09.09.2025 22:00;3.724,25;2.076,50;1.675,50;4.369,25;1,00;91,00;-;10.982,25;4.372,00;9.545,00;866,75;1.373,75
09.09.2025 22:00;09.09.2025 23:00;3.708,75;2.167,00;1.511,50;4.249,00;0,00;91,00;-;10.800,75;4.032,75;8.814,25;251,00;1.328,50
09.09.2025 23:00;10.09.2025 00:00;3.701,25;1.954,25;1.646,25;3.967,25;0,00;93,00;-;10.829,50;3.931,50;8.354,50;31,25;1.283,00
10.09.2025 00:00;10.09.2025 01:00;3.687,00;1.920,75;1.930,75;3.016,00;0,00;97,00;-;10.615,75;3.814,25;8.198,25;14,25;1.360,75
10.09.2025 01:00;10.09.2025 02:00;3.697,00;1.943,25;1.890,50;2.497,50;0,00;93,00;-;9.870,00;3.817,00;8.148,25;13,25;1.380,75
10.09.2025 02:00;10.09.2025 03:00;3.682,50;1.904,75;1.653,50;1.943,25;0,00;93,00;-;9.671,00;3.816,25;8.129,00;9,00;1.310,75
10.09.2025 03:00;10.09.2025 04:00;3.675,50;1.958,00;1.391,75;1.614,50;0,00;93,00;-;9.960,25;3.787,75;8.119,75;9,00;1.318,25
10.09.2025 04:00;10.09.2025 05:00;3.651,25;1.951,75;1.260,25;1.673,75;0,00;92,00;-;10.795,50;3.780,00;8.321,50;10,50;1.310,50
10.09.2025 05:00;10.09.2025 06:00;3.618,50;2.015,75;1.213,00;1.658,75;0,00;91,00;-;10.893,00;3.898,75;8.785,00;51,50;1.304,75
10.09.2025 06:00;10.09.2025 07:00;3.615,25;2.275,50;1.167,75;1.658,25;44,00;91,00;-;11.128,75;4.006,50;9.572,75;2.131,25;1.288,00
10.09.2025 07:00;10.09.2025 08:00;3.620,25;2.352,75;1.147,00;1.741,25;1.790,50;91,00;-;11.193,25;4.030,50;9.932,00;4.655,50;1.279,25
10.09.2025 08:00;10.09.2025 09:00;3.613,25;2.225,50;1.087,75;1.375,25;6.299,25;89,50;-;10.832,75;3.958,00;9.808,25;3.372,50;1.282,00
10.09.2025 09:00;10.09.2025 10:00;3.625,00;2.136,00;781,00;786,00;11.956,50;71,00;-;9.742,00;3.843,25;9.608,50;1.762,25;1.343,25
10.09.2025 10:00;10.09.2025 11:00;3.618,25;2.018,25;702,00;658,75;16.394,75;71,00;-;9.544,25;3.754,00;9.096,50;836,50;1.338,00
10.09.2025 11:00;10.09.2025 12:00;3.637,00;2.188,75;893,25;655,75;19.462,00;71,00;-;9.606,00;3.713,00;8.682,50;1.066,00;1.332,00
10.09.2025 12:00;10.09.2025 13:00;3.628,25;1.861,50;880,00;929,50;21.431,25;71,00;-;9.802,75;3.847,50;7.924,50;177,50;1.338,75
10.09.2025 13:00;10.09.2025 14:00;3.631,50;1.884,00;931,00;1.342,50;21.809,75;73,25;-;10.062,75;3.924,75;7.831,50;119,00;1.267,75
10.09.2025 14:00;10.09.2025 15:00;3.610,50;1.876,25;1.043,50;1.709,75;20.819,25;91,00;-;10.401,25;3.831,75;7.764,25;74,50;1.276,75
10.09.2025 15:00;10.09.2025 16:00;3.630,00;1.918,75;1.273,00;1.992,00;18.721,75;91,00;-;10.524,00;3.663,25;7.570,00;86,75;1.300,50
10.09.2025 16:00;10.09.2025 17:00;3.640,50;1.889,50;1.141,50;2.198,00;15.127,75;91,00;-;10.724,00;3.871,75;8.134,25;181,50;1.271,00
10.09.2025 17:00;10.09.2025 18:00;3.655,00;2.014,50;1.255,00;2.135,75;10.252,50;91,00;-;10.766,25;4.327,50;9.037,75;1.235,25;1.305,75
10.09.2025 18:00;10.09.2025 19:00;3.697,00;2.120,75;1.440,50;1.989,25;4.690,25;91,00;-;11.085,50;4.364,00;9.599,00;2.883,75;1.406,00
10.09.2025 19:00;10.09.2025 20:00;3.716,50;2.174,00;1.532,50;2.317,25;657,00;92,00;-;11.124,75;4.534,00;9.756,25;4.484,25;1.345,25
10.09.2025 20:00;10.09.2025 21:00;3.708,50;2.104,25;2.133,00;3.498,00;14,00;93,00;-;11.085,75;4.649,00;9.392,50;3.513,25;1.292,00
10.09.2025 21:00;10.09.2025 22:00;3.698,25;1.969,00;2.435,25;5.868,50;11,75;93,00;-;10.634,75;4.004,25;8.666,00;622,75;1.286,50
10.09.2025 22:00;10.09.2025 23:00;3.670,00;1.994,50;2.834,00;8.296,75;0,00;93,00;-;10.331,75;3.132,25;7.824,00;375,75;1.286,25
10.09.2025 23:00;11.09.2025 00:00;3.681,50;1.929,50;2.745,25;9.968,25;0,00;93,00;-;9.466,75;2.300,50;6.509,50;316,50;1.295,00
11.09.2025 00:00;11.09.2025 01:00;3.684,25;1.871,50;4.109,00;11.204,75;0,00;91,00;-;8.444,50;1.784,00;5.050,00;93,50;1.351,00
11.09.2025 01:00;11.09.2025 02:00;3.687,50;1.839,75;4.934,50;11.689,50;0,00;91,00;-;7.650,75;1.369,00;4.184,25;14,00;1.372,00
11.09.2025 02:00;11.09.2025 03:00;3.696,00;1.845,00;4.940,00;12.453,50;0,00;91,00;-;6.988,50;1.293,25;4.198,50;12,50;1.408,25
11.09.2025 03:00;11.09.2025 04:00;3.692,75;1.859,75;4.724,25;13.413,25;0,00;92,00;-;6.766,75;1.229,50;4.332,50;3,50;1.431,50
11.09.2025 04:00;11.09.2025 05:00;3.674,00;1.883,75;4.555,50;13.637,25;0,00;93,00;-;6.910,00;1.291,00;4.359,25;58,00;1.421,75
11.09.2025 05:00;11.09.2025 06:00;3.644,50;1.887,00;4.431,75;14.509,25;0,00;93,00;-;7.740,50;1.347,25;4.752,75;160,25;1.409,00
11.09.2025 06:00;11.09.2025 07:00;3.655,75;1.866,50;5.320,00;15.760,00;26,00;93,00;-;9.694,75;1.465,25;5.577,00;1.624,25;1.423,75
11.09.2025 07:00;11.09.2025 08:00;3.652,00;2.009,50;5.179,25;16.330,25;2.022,50;91,00;-;9.896,25;1.171,75;5.753,50;4.060,00;1.450,00
11.09.2025 08:00;11.09.2025 09:00;3.642,00;2.024,50;4.959,50;16.282,00;7.949,75;92,00;-;9.722,50;1.219,25;4.986,75;2.859,25;1.447,75
11.09.2025 09:00;11.09.2025 10:00;3.632,00;1.832,50;5.153,50;16.500,25;15.838,75;95,00;-;7.587,25;894,00;4.162,25;737,75;1.421,50
11.09.2025 10:00;11.09.2025 11:00;3.591,75;1.835,25;4.925,00;18.262,25;23.468,50;95,00;-;4.717,00;536,25;3.371,00;322,25;1.336,50
11.09.2025 11:00;11.09.2025 12:00;3.581,75;1.799,50;4.696,75;21.371,00;29.450,50;95,00;-;3.893,00;430,00;3.072,00;26,25;1.311,25
11.09.2025 12:00;11.09.2025 13:00;3.589,75;1.791,75;4.204,00;22.070,25;30.762,00;92,75;-;3.866,00;451,75;2.651,00;1,50;1.305,75
11.09.2025 13:00;11.09.2025 14:00;3.617,75;1.820,75;4.265,25;23.314,00;30.366,25;92,00;-;3.867,25;469,50;2.384,50;27,75;1.294,00
11.09.2025 14:00;11.09.2025 15:00;3.616,00;1.769,00;3.884,25;23.536,00;27.672,00;91,75;-;3.992,00;465,75;2.382,75;53,25;1.242,25
11.09.2025 15:00;11.09.2025 16:00;3.608,00;1.746,00;3.952,75;23.194,25;24.634,75;92,00;-;4.012,75;454,50;2.414,50;94,00;1.250,25
11.09.2025 16:00;11.09.2025 17:00;3.616,00;1.800,00;4.564,75;23.570,25;18.611,00;95,00;-;4.273,25;443,25;2.549,00;41,50;1.260,25
11.09.2025 17:00;11.09.2025 18:00;3.636,00;1.757,25;4.472,00;21.325,00;11.569,75;92,00;-;5.919,25;470,75;3.829,50;363,50;1.297,00
11.09.2025 18:00;11.09.2025 19:00;3.683,75;1.760,50;4.728,50;19.052,50;4.580,50;93,25;-;8.421,25;538,00;5.693,00;2.241,00;1.302,00
11.09.2025 19:00;11.09.2025 20:00;3.712,25;1.803,25;4.753,25;18.574,25;484,00;94,00;-;8.809,00;564,00;6.071,00;3.966,50;1.319,25
11.09.2025 20:00;11.09.2025 21:00;3.703,50;2.074,75;5.304,50;18.433,00;6,25;94,00;-;8.843,75;552,00;5.909,00;3.732,75;1.332,75
11.09.2025 21:00;11.09.2025 22:00;3.694,00;1.814,50;5.899,50;21.099,25;5,50;94,00;-;8.599,00;476,25;6.056,00;2.003,50;1.358,75
11.09.2025 22:00;11.09.2025 23:00;3.700,25;1.834,25;5.214,25;21.835,00;0,00;94,00;-;7.033,50;439,00;5.460,50;1.152,75;1.390,75
11.09.2025 23:00;12.09.2025 00:00;3.706,75;1.788,50;5.851,00;23.331,00;0,00;94,00;-;5.432,00;422,25;4.467,25;262,00;1.374,00
12.09.2025 00:00;12.09.2025 01:00;3.721,00;1.656,50;5.601,75;24.014,50;0,00;92,00;-;4.045,75;405,25;3.938,25;3,00;1.314,50
12.09.2025 01:00;12.09.2025 02:00;3.740,00;1.714,50;4.752,00;23.693,00;0,00;92,00;-;3.735,25;429,25;4.417,00;32,00;1.304,00
12.09.2025 02:00;12.09.2025 03:00;3.753,50;1.689,00;5.150,50;23.331,75;0,00;92,00;-;3.864,50;663,25;3.866,00;5,75;1.349,50
12.09.2025 03:00;12.09.2025 04:00;3.722,50;1.711,25;5.048,00;22.937,00;0,00;92,00;-;4.049,50;680,25;3.856,00;3,00;1.369,75
12.09.2025 04:00;12.09.2025 05:00;3.685,00;1.662,00;4.752,25;22.823,50;0,00;92,00;-;4.314,00;680,50;4.154,75;1,25;1.393,00
12.09.2025 05:00;12.09.2025 06:00;3.643,75;1.732,50;4.895,00;22.331,50;0,00;92,50;-;4.498,50;717,00;4.283,75;220,75;1.398,25
12.09.2025 06:00;12.09.2025 07:00;3.654,25;1.729,25;5.949,75;21.838,50;45,75;94,00;-;4.972,75;877,50;5.088,50;2.240,00;1.434,75
12.09.2025 07:00;12.09.2025 08:00;3.645,50;1.874,50;5.704,50;20.599,00;2.480,75;94,00;-;5.711,25;893,00;5.333,50;4.571,00;1.439,75
12.09.2025 08:00;12.09.2025 09:00;3.645,25;1.828,25;5.096,75;19.585,25;9.508,50;94,00;-;5.788,75;907,50;5.263,50;3.331,50;1.429,50
12.09.2025 09:00;12.09.2025 10:00;3.636,50;1.803,50;4.490,50;19.904,50;17.799,25;94,00;-;4.837,00;764,00;5.037,25;708,25;1.446,25
12.09.2025 10:00;12.09.2025 11:00;3.618,00;1.950,25;4.715,75;22.692,75;24.803,75;94,00;-;3.544,25;461,50;3.303,25;86,75;1.451,25
12.09.2025 11:00;12.09.2025 12:00;3.643,50;1.900,25;4.147,00;22.956,25;28.881,75;94,00;-;2.729,75;461,25;2.303,25;6,25;1.419,75
12.09.2025 12:00;12.09.2025 13:00;3.634,75;1.635,75;3.138,25;21.893,75;30.761,00;93,25;-;2.703,75;453,25;2.198,00;5,75;1.354,50
12.09.2025 13:00;12.09.2025 14:00;3.650,50;1.631,50;2.353,50;21.174,50;30.972,00;79,50;-;2.739,75;432,00;2.189,50;39,50;1.388,50
12.09.2025 14:00;12.09.2025 15:00;3.649,50;1.530,75;2.822,50;20.790,75;29.986,25;71,00;-;2.748,75;409,25;2.199,75;28,25;1.361,00
12.09.2025 15:00;12.09.2025 16:00;3.640,25;1.656,25;3.662,25;20.558,25;26.834,25;71,00;-;2.740,25;420,00;2.204,50;17,25;1.336,75
12.09.2025 16:00;12.09.2025 17:00;3.650,50;1.703,25;4.058,25;19.890,50;22.407,75;71,00;-;2.846,25;689,75;2.727,50;27,75;1.322,25
12.09.2025 17:00;12.09.2025 18:00;3.686,75;1.782,00;5.748,25;18.809,50;14.277,00;71,00;-;3.709,00;801,75;4.173,00;132,50;1.365,50
12.09.2025 18:00;12.09.2025 19:00;3.825,50;1.917,75;5.553,50;14.345,75;5.264,25;71,50;-;5.725,25;1.004,25;6.025,50;2.662,75;1.375,50
12.09.2025 19:00;12.09.2025 20:00;3.964,75;2.032,75;5.479,00;11.165,00;504,25;73,00;-;5.918,75;1.414,25;7.364,75;5.274,75;1.455,25
12.09.2025 20:00;12.09.2025 21:00;3.885,00;1.909,75;5.173,75;12.125,50;0,00;73,00;-;6.001,00;1.410,25;7.269,75;4.181,75;1.382,75
12.09.2025 21:00;12.09.2025 22:00;3.882,00;1.815,25;5.097,00;13.247,50;0,00;73,00;-;6.031,00;1.342,00;7.045,75;2.731,50;1.374,25
12.09.2025 22:00;12.09.2025 23:00;3.945,75;1.817,25;5.124,25;13.536,50;0,00;76,00;-;5.882,25;1.282,50;6.525,00;2.432,50;1.383,50
12.09.2025 23:00;13.09.2025 00:00;3.958,75;1.713,50;5.163,50;15.081,25;0,00;77,00;-;5.667,00;1.359,00;5.518,00;1.118,75;1.371,00
13.09.2025 00:00;13.09.2025 01:00;3.959,75;1.632,00;5.752,25;16.630,50;0,00;72,00;-;4.878,50;1.143,25;4.067,50;357,75;1.341,00
13.09.2025 01:00;13.09.2025 02:00;3.964,50;1.632,00;5.297,25;17.585,75;0,00;80,00;-;3.416,25;1.109,25;3.872,25;162,00;1.363,75
13.09.2025 02:00;13.09.2025 03:00;3.951,25;1.621,00;5.733,00;17.229,50;0,00;80,00;-;3.263,50;1.092,00;3.704,50;121,00;1.385,50
13.09.2025 03:00;13.09.2025 04:00;3.927,00;1.651,50;5.604,25;16.420,00;0,00;80,00;-;3.254,00;1.082,00;3.660,00;253,50;1.392,75
13.09.2025 04:00;13.09.2025 05:00;3.906,00;1.609,50;5.833,75;16.145,50;0,00;80,00;-;3.203,25;1.082,75;3.667,25;150,50;1.373,50
13.09.2025 05:00;13.09.2025 06:00;3.879,00;1.616,00;5.600,75;16.186,75;0,00;80,00;-;3.332,75;1.091,50;3.743,75;40,00;1.423,50
13.09.2025 06:00;13.09.2025 07:00;3.896,00;1.622,50;5.913,00;16.589,75;22,00;80,00;-;3.226,75;1.105,00;3.757,25;100,00;1.452,75
13.09.2025 07:00;13.09.2025 08:00;3.887,25;1.632,00;6.172,50;16.905,50;1.806,25;80,00;-;3.050,00;1.109,50;3.464,50;453,75;1.451,00
13.09.2025 08:00;13.09.2025 09:00;3.901,50;1.635,75;6.444,25;16.010,00;7.564,25;80,00;-;2.855,00;1.027,25;3.460,50;30,00;1.447,75
13.09.2025 09:00;13.09.2025 10:00;3.865,25;1.647,50;6.108,50;12.671,00;15.891,75;78,25;-;2.784,50;954,50;2.994,75;48,75;1.460,25
13.09.2025 10:00;13.09.2025 11:00;3.859,75;1.682,00;4.959,75;9.804,25;26.008,00;74,00;-;2.713,00;944,75;2.569,50;79,25;1.453,00
13.09.2025 11:00;13.09.2025 12:00;3.858,25;1.721,00;4.633,25;9.843,25;33.440,75;77,00;-;2.728,75;620,25;1.802,50;71,50;1.441,75
13.09.2025 12:00;13.09.2025 13:00;3.871,75;1.650,75;4.887,75;9.905,25;36.895,75;77,00;-;2.772,25;621,75;1.739,75;75,50;1.462,50
13.09.2025 13:00;13.09.2025 14:00;3.872,25;1.640,25;4.783,50;12.358,25;35.078,50;74,00;-;2.826,25;589,25;1.730,00;123,50;1.467,50
13.09.2025 14:00;13.09.2025 15:00;3.851,50;1.618,50;4.886,75;14.596,50;31.321,50;73,00;-;2.814,75;593,25;1.725,00;107,50;1.446,75
13.09.2025 15:00;13.09.2025 16:00;3.855,25;1.635,25;4.987,25;14.244,50;26.178,75;71,00;-;2.836,00;596,75;1.661,50;107,25;1.424,50
13.09.2025 16:00;13.09.2025 17:00;3.866,75;1.688,00;4.797,75;14.417,25;20.438,25;72,00;-;2.991,00;311,75;1.716,75;148,50;1.376,25
13.09.2025 17:00;13.09.2025 18:00;3.894,25;1.745,50;4.896,50;14.992,00;12.487,00;72,00;-;4.021,50;333,00;2.201,50;411,25;1.385,75
13.09.2025 18:00;13.09.2025 19:00;3.941,25;1.743,25;4.953,25;12.978,50;4.457,25;72,00;-;6.214,25;434,25;2.818,50;3.199,50;1.410,25
13.09.2025 19:00;13.09.2025 20:00;3.973,75;2.231,50;4.231,00;12.365,75;330,50;72,00;-;6.346,00;484,25;3.085,75;4.952,50;1.422,25
13.09.2025 20:00;13.09.2025 21:00;-;-;-;-;-;-;-;-;-;-;-;-
13.09.2025 21:00;13.09.2025 22:00;-;-;-;-;-;-;-;-;-;-;-;-
13.09.2025 22:00;13.09.2025 23:00;-;-;-;-;-;-;-;-;-;-;-;-
13.09.2025 23:00;14.09.2025 00:00;-;-;-;-;-;-;-;-;-;-;-;-
